site_id,type,utme_noise,utmn_noise
70134,translocation,300991,4197464
70370,translocation,295591,4205424
70413,translocation,298407,4175271
70414,translocation,284583,4198378
70449,translocation,287661,4201167
70459,donor,302126,4185015
70505,translocation,286109,4207459
70550,translocation,297126,4199910
70556,translocation,305932,4187450
70567,donor,296158,4177556
70619,translocation,294098,4213073
70628,translocation,293963,4213713
70641,translocation,294511,4197063
72996,donor,293299,4204333
74976,translocation,301314,4182550
